Year,Drug Name,Generic v Brand,Therapeutic Class,Therapeutic Class - Intermediate,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
2022,ENALAPRIL MALEATE,Generic,Cardiovascular Agents,"Cardiac, ACE Inhibitors",5454,351132,229276.29000000004,114036.77999999998,115239.51000000001,42.03819031903191,0.6529632445917776,21.129356435643565,20.908833883388336,0.3281942688219815,0.3247689757697959
2022,ENALAPRIL/HCTZ,Generic,Cardiovascular Agents,"Cardiac, ACE Inhibitors",426,28411,14303.039999999997,4587.05,9715.990000000002,33.575211267605624,0.503433177290486,22.807488262910802,10.767723004694837,0.3419798669529408,0.1614533103375453
2022,ENBRACE HR,Brand,"Electrolytic, Caloric, Water",Caloric/Nutrition/Dietary Misc,65,4380,8148.63,8148.63,0.0,125.36353846153847,1.860417808219178,0.0,125.36353846153847,0.0,1.860417808219178
2022,ENBREL,Brand,Immunosuppressants,"Immunosuppressants, NEC",8774,247910,54225112.68000001,52660578.559999995,1564534.12,6180.204317301118,218.72902537211087,178.31480738545704,6001.889509915659,6.310895566939616,212.41812980517122
2022,ENBREL MINI,Brand,Immunosuppressants,"Immunosuppressants, NEC",662,18614,4088824.9099999997,3941184.13,147640.78000000003,6176.472673716012,219.6639577737187,223.02232628398795,5953.450347432024,7.931706242613088,211.73225153110562
2022,ENDOCET,Generic,Central Nervous System,"Analg/Antipyr, Opiate Agonists",66,1143,739.52,252.16,487.35999999999996,11.204848484848485,0.6469991251093613,7.384242424242424,3.8206060606060603,0.4263867016622922,0.2206124234470691
2022,ENDOMETRIN,Brand,Hormones & Synthetic Subst,"Progestins, NEC",2026,50217,1661492.8499999999,1435651.7999999998,225841.05000000002,820.0853158933859,33.086262620228204,111.47139684106615,708.6139190523197,4.497302706254854,28.58895991397335
2022,ENEMA,Generic,Gastrointestinal Drugs,"Cath&Lax, Laxatives, Saline",46,100,81.8,3.14,78.66,1.7782608695652173,0.818,1.71,0.06826086956521739,0.7866,0.031400000000000004
2022,ENFAMIL GENTLEASE,Brand,"Electrolytic, Caloric, Water","Caloric Agents, Nutrition Prep",12,177,1131.02,582.3299999999999,548.69,94.25166666666667,6.389943502824859,45.72416666666667,48.527499999999996,3.099943502824859,3.2899999999999996
2022,ENFAMIL NEUROPRO ENFACARE,Brand,"Electrolytic, Caloric, Water","Caloric Agents, Nutrition Prep",17,364,1692.2099999999998,1472.6699999999998,219.54000000000002,99.54176470588234,4.648928571428571,12.914117647058825,86.62764705882353,0.6031318681318681,4.045796703296703
2022,ENGERIX-B,Brand,"Serums, Toxoids, Vaccines","Vaccines, NEC",1121,2303,63429.76,63429.76,0.0,56.58319357716325,27.542231871471994,0.0,56.58319357716325,0.0,27.542231871471994
2022,ENOXAPARIN SODIUM,Generic,Blood Form/Coagul Agents,"Coag/Anticoag, Anticoagulants",4939,106670,1213220.33,1062221.6600000001,150998.67000000004,245.64088479449282,11.373585169213463,30.57272119862321,215.06816359586963,1.4155682947407897,9.958016874472674
2022,ENPRESSE-28,Generic,Hormones & Synthetic Subst,"Contraceptive, Oral Comb, NEC",1779,139853,73347.9,73267.09,80.81,41.22984822934232,0.5244642589004168,0.04542439572793704,41.18442383361439,0.0005778209977619357,0.5238864379026549
2022,ENSKYCE,Generic,Hormones & Synthetic Subst,"Contraceptive, Oral Comb, NEC",2405,170804,45757.87,45757.87,0.0,19.026141372141375,0.2678969462073488,0.0,19.026141372141375,0.0,0.2678969462073488
2022,ENSTILAR,Brand,Skin & Mucous Membrane,Antiinflam S/MM Agnts&Comb NEC,406,12507,317780.67,255404.03999999998,62376.630000000005,782.7110098522168,25.40822499400336,153.6370197044335,629.0739901477832,4.987337491005038,20.42088750299832
2022,ENTACAPONE,Generic,Central Nervous System,COMT Inhibitors,185,10301,53959.310000000005,46391.04000000001,7568.27,291.671945945946,5.238259392292011,40.90956756756757,250.76237837837843,0.7347121638675858,4.503547228424425
2022,ENTECAVIR,Generic,Anti-Infective Agents,"Antivirals, NEC",2337,106202,812077.3399999999,709741.5199999998,102335.81999999998,347.4870945656824,7.646535281821433,43.78939666238767,303.69769790329474,0.9635959774768834,6.682939304344549
2022,ENTERIC ASPIRIN,Generic,Central Nervous System,"Analg/Antipyr, Salicylates",13,640,12.19,6.449999999999999,5.74,0.9376923076923076,0.019046874999999998,0.44153846153846155,0.4961538461538461,0.008968750000000001,0.010078124999999999
2022,ENTRESTO,Brand,Cardiovascular Agents,"Cardiac Drugs, NEC",6055,292240,4553753.16,3827032.6900000004,726720.47,752.064931461602,15.58223774979469,120.01989595375723,632.0450355078448,2.486724849438817,13.095512900355873
2022,ENTYVIO,Brand,Immunosuppressants,"Immunosuppressants, NEC",226,10584,1763957.93,1664490.2200000002,99467.71,7805.123584070796,166.66269179894178,440.12261061946907,7365.000973451329,9.397931783824642,157.2647600151172
2022,ENULOSE,Generic,"Electrolytic, Caloric, Water","Ammonia Detoxicants, NEC",200,5380,3723.37,1217.8000000000002,2505.5700000000006,18.61685,0.6920762081784386,12.527850000000003,6.089000000000001,0.4657193308550187,0.2263568773234201
2022,ENVARSUS XR,Brand,Immunosuppressants,"Immunosuppressants, NEC",766,29420,483632.50000000006,401213.75,82418.74999999999,631.3740208877285,16.438902107409927,107.59627937336813,523.7777415143603,2.801453093133922,13.637449014276003
2022,EPANED,Brand,Cardiovascular Agents,"Cardiac, ACE Inhibitors",11,330,5802.99,5087.99,715.0,527.5445454545454,17.584818181818182,65.0,462.5445454545454,2.1666666666666665,15.418151515151514
2022,EPCLUSA,Brand,Anti-Infective Agents,"Antivirals, NEC",223,6244,5187773.95,5150348.69,37425.26,23263.560313901347,830.841439782191,167.82627802690584,23095.73403587444,5.993795643818066,824.8476441383729
2022,EPIDIOLEX 60ML PACK/CARTON,Brand,Central Nervous System,"Anticonvulsants, Misc",113,3510,363530.61,349776.87,13753.740000000002,3217.0850442477877,103.56997435897435,121.7145132743363,3095.3705309734514,3.918444444444445,99.65152991452992
2022,EPIDIOLEX 100ML PACK/CARTON,Brand,Central Nervous System,"Anticonvulsants, Misc",748,23152,1962418.3899999997,1873790.96,88627.43,2623.5539973262025,84.76236998963371,118.4858689839572,2505.068128342246,3.828067985487215,80.9343020041465
2022,EPINASTINE HCL,Generic,"Eye, Ear, Nose Throat",Antiallergic Agents,46,1486,2884.3900000000003,1487.33,1397.06,62.70413043478261,1.9410430686406464,30.37086956521739,32.333260869565216,0.9401480484522207,1.0008950201884252
2022,EPINEPHRINE,Brand,Autonomic Drugs,"Sympathomimetic Agents, NEC",6593,42236,755963.22,299416.31000000006,456546.91,114.661492492037,17.898551472677337,69.24721826179281,45.41427423024421,10.809425845250496,7.089125627426841
2022,EPINEPHRINE,Generic,Autonomic Drugs,"Sympathomimetic Agents, NEC",17467,152086,4474102.33,3916630.4900000007,557471.84,256.14600847312073,29.418239219915048,31.915717638976353,224.23029083414443,3.6655039911628946,25.752735228752158
2022,EPINEPHRINE AUTO-INJECTORS,Generic,Autonomic Drugs,"Sympathomimetic Agents, NEC",3975,50223,1170439.6400000001,1022518.14,147921.5,294.4502238993711,23.30485315492902,37.212955974842764,257.2372679245283,2.9452939888099077,20.35955916611911
2022,EPIPEN AUTO-INJECTOR,Brand,Autonomic Drugs,"Sympathomimetic Agents, NEC",513,4226,161265.7,126372.47,34893.23,314.358089668616,38.16036441079035,68.01799220272905,246.34009746588694,8.256798390913394,29.90356601987695
2022,EPIPEN JR AUTO-INJECTOR,Brand,Autonomic Drugs,"Sympathomimetic Agents, NEC",83,630,30465.83,25478.78,4987.05,367.05819277108435,48.35846031746032,60.084939759036146,306.9732530120482,7.9159523809523815,40.44250793650794
