Year,Drug Name,Generic v Brand,Therapeutic Class,Therapeutic Class - Intermediate,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
2018,ADEFOVIR DIPIVOXIL,Generic,Anti-Infective Agents,"Antivirals, NEC",162,7020,173175.21000000002,166617.92,6557.29,1068.982777777778,24.668833333333335,40.477098765432096,1028.5056790123458,0.9340868945868945,23.73474643874644
2018,ADEMPAS,Brand,Cardiovascular Agents,"Vasodilating Agents, NEC",60,1800,571582.92,569137.92,2445.0,9526.382000000001,317.5460666666667,40.75,9485.632000000001,1.3583333333333334,316.18773333333337
2018,ADULT LOW DOSE ASPIRIN,Generic,Central Nervous System,"Analg/Antipyr, Salicylates",345,15161,761.49,722.3600000000001,39.13,2.207217391304348,0.05022689796187586,0.11342028985507246,2.0937971014492756,0.0025809643163379726,0.0476459336455379
2018,ADVAIR DISKUS 100/50,Brand,Hormones & Synthetic Subst,"Adrenals & Comb, NEC",6326,241047,2366832.6,1999873.3599999999,366959.23999999993,374.14362946569713,9.818967255348543,58.00809990515332,316.1355295605438,1.5223555572149827,8.296611698133558
2018,ADVAIR DISKUS 250/50,Brand,Hormones & Synthetic Subst,"Adrenals & Comb, NEC",18299,676056,8387067.76,7446671.29,940396.4699999999,458.33475927646316,12.405877264605298,51.39059347505327,406.9441658014099,1.3910038073769035,11.014873457228395
2018,ADVAIR DISKUS 500/50,Brand,Hormones & Synthetic Subst,"Adrenals & Comb, NEC",7968,290405,4723069.51,4345165.590000001,377903.9199999999,592.7547075803212,16.263733441228627,47.42770080321284,545.3270067771085,1.3012996332707767,14.962433807957854
2018,ADVAIR HFA 45/21,Brand,Hormones & Synthetic Subst,"Adrenals & Comb, NEC",477,16499,165521.44999999998,136911.61,28609.84,347.0051362683438,10.03221104309352,59.978700209643605,287.0264360587002,1.734034789987272,8.298176253106249
2018,ADVAIR HFA 115/21,Brand,Hormones & Synthetic Subst,"Adrenals & Comb, NEC",1907,71052,885205.3,788011.5300000001,97193.76999999999,464.18736234923966,12.458555705680347,50.96684320922915,413.22051914001054,1.3679244778472104,11.09063122783314
2018,ADVAIR HFA 230/21,Brand,Hormones & Synthetic Subst,"Adrenals & Comb, NEC",1826,69039,1142510.05,1055228.48,87281.57,625.6900602409639,16.548763018004315,47.799326396495076,577.8907338444687,1.2642357218383813,15.284527296165935
2018,ADVATE,Brand,Blood Form/Coagul Agents,"Coag/Anticoag, Hemostatics",65,1122,1143514.7,1133067.2699999998,10447.43,17592.533846153845,1019.175311942959,160.72969230769232,17431.80415384615,9.31143493761141,1009.8638770053474
2018,ADZENYS XR ODT,Brand,Central Nervous System,"Stimulant, Amphetamine Type",244,7423,57674.19,26431.08,31243.11,236.36963114754099,7.769660514616732,128.04553278688525,108.32409836065574,4.208959989222686,3.560700525394046
2018,AEROCHAMBER PLUS FLOW-VU,Brand,Respiratory Tract Agents,"Misc Therapeutic Agents, NEC",1492,25382,52328.12,23888.35,28439.770000000004,35.07246648793566,2.061623197541565,19.061508042895444,16.010958445040213,1.1204700181230796,0.9411531794184855
2018,AEROCHAMBER PLUS FLOW-VU,Other,Respiratory Tract Agents,"Misc Therapeutic Agents, NEC",31,791,1049.99,184.87,865.12,33.87064516129032,1.3274209860935524,27.907096774193548,5.9635483870967745,1.0937041719342604,0.23371681415929205
2018,AEROCHAMBER Z-STAT PLUS,Brand,Respiratory Tract Agents,"Misc Therapeutic Agents, NEC",19,280,213.65000000000003,145.29,68.36,11.244736842105265,0.7630357142857144,3.5978947368421053,7.646842105263158,0.24414285714285713,0.5188928571428572
2018,AFEDITAB CR,Generic,Cardiovascular Agents,"Cardiac, Calcium Channel",13,600,421.46000000000004,94.48,326.98,32.42,0.7024333333333334,25.152307692307694,7.267692307692308,0.5449666666666667,0.15746666666666667
2018,AFINITOR,Brand,Antineoplastic Agents,Molecular Targeted Therapy,185,5537,2830166.4999999995,2825883.1299999994,4283.37,15298.197297297294,511.13716814159284,23.15335135135135,15275.043945945943,0.7735903919089759,510.3635777496838
2018,AFINITOR DISPERZ,Brand,Antineoplastic Agents,Molecular Targeted Therapy,31,884,634150.54,634150.54,0.0,20456.469032258065,717.3648642533938,0.0,20456.469032258065,0.0,717.3648642533938
2018,AFLURIA 2017-2018 FORMULA,Brand,"Serums, Toxoids, Vaccines","Vaccines, NEC",2062,3046,58467.47999999999,58239.909999999996,227.57,28.354742967992234,19.194839133289555,0.11036372453928224,28.244379243452958,0.07471109652002626,19.120128036769533
2018,AFLURIA 2018-2019 FORMULA,Brand,"Serums, Toxoids, Vaccines","Vaccines, NEC",572,1662,15723.0,15723.0,0.0,27.487762237762237,9.46028880866426,0.0,27.487762237762237,0.0,9.46028880866426
2018,AFLURIA QUADRIVALENT 2017-2018 FORMULA,Brand,"Serums, Toxoids, Vaccines","Vaccines, NEC",529,1356,13628.85,13105.57,523.28,25.76342155009452,10.050774336283187,0.9891871455576559,24.774234404536863,0.38589970501474924,9.664874631268436
2018,AFLURIA QUADRIVALENT 2018-2019 FORMULA,Brand,"Serums, Toxoids, Vaccines","Vaccines, NEC",37005,94699,1089403.62,1087906.3900000001,1497.23,29.439362788812325,11.503855584536268,0.04046020807998919,29.398902580732337,0.015810409824813357,11.488045174711456
2018,AFREZZA,Brand,Hormones & Synthetic Subst,"Antidiabetic Agents, Insulins",46,1840,51439.090000000004,47710.920000000006,3728.17,1118.2410869565217,27.956027173913046,81.04717391304348,1037.1939130434785,2.026179347826087,25.92984782608696
