Year,Drug Name,Generic v Brand,Therapeutic Class,Therapeutic Class - Intermediate,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,average_cost_per_day_total,average_cost_per_day_payer,average_cost_per_day_oop
2018.0,APIDRA,Brand,Hormones & Synthetic Subst,"Antidiabetic Agents, Insulins",165.0,6988.0,120423.45,108777.8,11645.65,17.23289210074413,15.566370921579852,1.6665211791642816
2018.0,APIDRA SOLOSTAR,Brand,Hormones & Synthetic Subst,"Antidiabetic Agents, Insulins",101.0,4222.0,58645.57,49299.4,9346.17,13.890471340596873,11.676788252013264,2.21368308858361
2018.0,APLENZIN,Brand,Central Nervous System,"Psychother, Antidepressants",22.0,660.0,62061.26,60037.82,2023.44,94.03221212121213,90.96639393939394,3.065818181818182
2018.0,APRACLONIDINE HCL,Generic,"Eye, Ear, Nose Throat","Eye/Ear/Nose/Throat Misc, NEC",98.0,2297.0,7462.96,5202.61,2260.35,3.2490030474531997,2.2649586417065737,0.984044405746626
2018.0,APREPITANT,Generic,Gastrointestinal Drugs,"Antiemetics, NEC",63.0,278.0,11803.21,10224.31,1578.9,42.45758992805755,36.778093525179855,5.679496402877698
2018.0,APREPITANT 3-DAY PACK,Generic,Gastrointestinal Drugs,"Antiemetics, NEC",28.0,216.0,17154.09,16569.09,585.0,79.41708333333334,76.70875,2.7083333333333335
2018.0,APREPITANT DOSE PACK,Generic,Gastrointestinal Drugs,"Antiemetics, NEC",412.0,3252.0,237403.52,225876.51,11527.01,73.00231242312422,69.45772140221402,3.544591020910209
2018.0,APRI,Generic,Hormones & Synthetic Subst,"Contraceptive, Oral Comb, NEC",65264.0,2913492.0,1417394.9,1416102.39,1292.51,0.48649349303172956,0.48604986387469057,0.00044362915703904455
2018.0,APRISO,Brand,Gastrointestinal Drugs,"Gastrointestinal Drug Misc,NEC",3998.0,160648.0,2101695.0,1816142.05,285552.95,13.082609182809621,11.30510214879737,1.7775070340122505
2018.0,APTENSIO XR,Brand,Central Nervous System,"Stimulant, Amphetamine Type",136.0,4350.0,25774.42,16624.3,9150.12,5.925154022988505,3.8216781609195403,2.1034758620689655
