Therapeutic Class,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Year,Generic v Brand,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
Anti-Infective Agents,70716,2327131,157931342.85,152318351.67000002,5612991.18,2019,Brand,2233.3183840997795,67.86525676895714,79.37370863736636,2153.944675462413,2.411979033410667,65.45327773554648
Antihistamines & Comb.,1156,25438,366551.37,285447.97000000003,81103.40000000001,2019,Brand,317.08596020761246,14.409598631967922,70.15865051903116,246.92730968858135,3.1882773802971935,11.22132125167073
Antineoplastic Agents,11830,359331,124739952.42,124300918.32000001,439034.1,2019,Brand,10544.37467624683,347.1449789191581,37.11192730346576,10507.262748943365,1.2218096963523881,345.9231692228057
Autonomic Drugs,193173,5001204,30717082.41,23580420.85,7136661.56,2019,Brand,159.01333214269076,6.14193750344917,36.9444050669607,122.06892707573006,1.426988693122696,4.714948810326474
Blood Derivatives,51,1428,530777.43,530301.8400000001,475.59000000000003,2019,Brand,10407.400588235296,371.6928781512605,9.32529411764706,10398.075294117649,0.33304621848739496,371.35983193277315
Blood Form/Coagul Agents,58968,2408960,42089505.97,37700829.74,4388676.23,2019,Brand,713.7685858431691,17.472065111085282,74.4247088251255,639.3438770180437,1.8218136581761426,15.65025145290914
Cardiovascular Agents,32062,1716692,21630517.18,19536834.32,2093682.86,2019,Brand,674.6465342149585,12.600115326453436,65.30106855467533,609.3454656602833,1.21960308546903,11.380512240984405
Central Nervous System,178168,5334064,100615585.93,88259927.23,12355658.700000001,2019,Brand,564.723103643752,18.862838153048035,69.34836053612321,495.3747431076288,2.3163686637430674,16.546469489304965
Contraceptive Cream/Foam/Devic,916,26164,443554.97,442113.13,1441.84,2019,Brand,484.2303165938864,16.952873031646536,1.5740611353711789,482.65625545851526,0.05510778168475768,16.89776524996178
Dental Agents,6437,200599,86799.3,26765.54,60033.76000000001,2019,Brand,13.484433742426596,0.43270056181735705,9.326356998601835,4.158076743824763,0.2992724789256178,0.13342808289173924
Devices & Non-Drug Items,33575,1126441,618626.22,283474.01,335152.21,2019,Brand,18.425203871928517,0.5491865264137225,9.982195383469845,8.443008488458675,0.2975319701608873,0.2516545562528353
Diagnostic Agents,144117,6290514,15493072.43,10852610.17,4640462.26,2019,Brand,107.50343422358223,2.4629263093604115,32.19927045386734,75.30416376971489,0.7376920645912242,1.7252342447691873
"Electrolytic, Caloric, Water",7229,192364,5196336.2,5014997.04,181339.16,2019,Brand,718.8181214552498,27.01303882223285,25.084957808825564,693.7331636464241,0.9426876130668941,26.070351209165956
Enzymes,203,5531,4490723.67,4476720.18,14003.490000000002,2019,Brand,22121.79147783251,811.9189423250768,68.98270935960592,22052.808768472903,2.531818839269572,809.3871234858073
"Eye, Ear, Nose Throat",49106,1449312,14654977.93,11453632.23,3201345.6999999997,2019,Brand,298.43558689365864,10.111679148451127,65.19255691768826,233.24302997597036,2.2088726926983284,7.902806455752799
Gastrointestinal Drugs,42674,1229983,24677771.28,22132406.69,2545364.59,2019,Brand,578.2858714908375,20.063505983416032,59.64673079626939,518.6391406945681,2.069430707578885,17.994075275837147
Gold Compounds,12,660,22255.94,21625.94,630.0,2019,Brand,1854.6616666666666,33.72112121212121,52.5,1802.1616666666666,0.9545454545454546,32.76657575757576
